CollegeName,BranchName,Quota,CutoffRank
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,3BG,5244
E005  R. V. College of Engineering  Bangalore,CE Civil,GMR,5247
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,IE Info.Science,GM,5248
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,2AK,5265
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,2BG,5273
E053  N M A M Institutute of Technology  Nitte,CS Computers,2BG,5351
E005  R. V. College of Engineering  Bangalore,SE Aero Space,3BG,5366
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,2AR,5368
"E126  B M S Institute of Technology and Management  Yalahanka,",EC Electronics,3AG,5381
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,CS Computers,2BG,5391
E056  The National Institute of Engineering  Mysore,EC Electronics,2BG,5395
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,1G,5396
E022  The National Institute of Engineering  Mysore,EC Electronics,3AR,5420
E005  R. V. College of Engineering  Bangalore,EC Electronics,2AR,5423
E141  PES Institute of Technology (South Campus)  Bangalore,CS Computers,3AG,5435
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,1K,5453
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,1G,5464
E007  Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,3BG,5466
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,GMR,5482
E141  PES Institute of Technology (South Campus)  Bangalore,EC Electronics,GM,5488
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,EC Electronics,GM,5520
E056  The National Institute of Engineering  Mysore,IE Info.Science,3AG,5531
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,3AG,5543
E005  R. V. College of Engineering  Bangalore,CS Computers,2BR,5554
E022  The National Institute of Engineering  Mysore,ME Mechanical,3BG,5595
E008  Bangalore Institute of Technology  Bangalore,EC Electronics,3BG,5608
